Daemon started at 23:45:42 with pid 16441
To kill this process type "kill 16441" at the head node command line
Daemon has been running for 2.19107998742e-05 hours
Daemon has been running for 2.79511850529 hours
Daemon has been running for 2.84871384501 hours
Daemon has been running for 2.93326303025 hours
Daemon has been running for 3.01641541832 hours
Daemon has been running for 3.06858668612 hours
Daemon has been running for 3.15735093859 hours
Daemon has been running for 3.23766966416 hours
Daemon has been running for 3.33627896527 hours
Daemon has been running for 3.4405362608 hours
Daemon has been running for 3.51523924609 hours
Daemon has been running for 3.60962021391 hours
Daemon has been running for 3.68290063222 hours
Daemon has been running for 3.75478407747 hours
Daemon has been running for 3.82667185028 hours
Daemon has been running for 3.91686314219 hours
Daemon has been running for 3.95074397584 hours
Daemon has been running for 4.09440755612 hours
Daemon has been running for 4.13252000974 hours
Daemon has been running for 4.21427201 hours
