Daemon started at 14:20:13 with pid 12389
To kill this process type "kill 12389" at the head node command line
Daemon has been running for 0.00278226474921 hours
Daemon has been running for 0.00556467387411 hours
Daemon has been running for 0.00834736916754 hours
Daemon has been running for 0.0111296213998 hours
Daemon has been running for 0.0139127097527 hours
Daemon has been running for 0.0166952716642 hours
Daemon has been running for 0.0194777222474 hours
Daemon has been running for 0.0222599038813 hours
Daemon has been running for 0.0250431355503 hours
Daemon has been running for 0.0278250638644 hours
Daemon has been running for 0.0306070166826 hours
Daemon has been running for 0.0333898133039 hours
Daemon has been running for 0.0361722194486 hours
Daemon has been running for 0.0389541397492 hours
Daemon has been running for 0.0417373949952 hours
Daemon has been running for 0.0445204069217 hours
Daemon has been running for 0.0473026069668 hours
Daemon has been running for 0.0500856449869 hours
Daemon has been running for 0.0528690169255 hours
Daemon has been running for 0.0556511377626 hours
Daemon has been running for 0.0584348347452 hours
Daemon has been running for 0.0612166069614 hours
Daemon has been running for 0.0639992239078 hours
Daemon has been running for 0.066781289445 hours
Daemon has been running for 0.0695645202531 hours
Daemon has been running for 0.0723468203015 hours
Daemon has been running for 0.0751295063893 hours
Daemon has been running for 0.0779121194283 hours
Daemon has been running for 0.0806941141685 hours
Daemon has been running for 0.0834762871928 hours
Daemon has been running for 0.0862593424982 hours
Daemon has been running for 0.0890419330862 hours
Daemon has been running for 0.0918250358105 hours
Daemon has been running for 0.0946076569292 hours
Daemon has been running for 0.0973898749881 hours
Daemon has been running for 0.100171782772 hours
Daemon has been running for 0.102954183022 hours
Daemon has been running for 0.105736278892 hours
Daemon has been running for 0.108519995279 hours
Daemon has been running for 0.111301893857 hours
Daemon has been running for 0.114084294438 hours
Daemon has been running for 0.11686707086 hours
Daemon has been running for 0.119650553068 hours
Daemon has been running for 0.122433161669 hours
Daemon has been running for 0.125215841399 hours
Daemon has been running for 0.127997749448 hours
Daemon has been running for 0.13078018864 hours
Daemon has been running for 0.133562577764 hours
Daemon has been running for 0.136345751683 hours
Daemon has been running for 0.139128363066 hours
Daemon has been running for 0.14191166083 hours
Daemon has been running for 0.144693910811 hours
Daemon has been running for 0.147476350533 hours
Daemon has been running for 0.150258791645 hours
Daemon has been running for 0.153041643302 hours
Daemon has been running for 0.155823930833 hours
Daemon has been running for 0.158607004152 hours
Daemon has been running for 0.161389004456 hours
Daemon has been running for 0.164171154698 hours
Daemon has been running for 0.166953808069 hours
Daemon has been running for 0.169736963908 hours
Daemon has been running for 0.172519666685 hours
Daemon has been running for 0.175303451419 hours
Daemon has been running for 0.178085825245 hours
Daemon has been running for 0.180867981646 hours
Daemon has been running for 0.183650146392 hours
Daemon has been running for 0.186432712475 hours
Daemon has been running for 0.189215791954 hours
Daemon has been running for 0.191998314725 hours
Daemon has been running for 0.194781149162 hours
Daemon has been running for 0.197563120855 hours
Daemon has been running for 0.200345449183 hours
Daemon has been running for 0.203128025532 hours
Daemon has been running for 0.205911120309 hours
Daemon has been running for 0.208693462478 hours
Daemon has been running for 0.211475463311 hours
Daemon has been running for 0.214257686403 hours
Daemon has been running for 0.217040264739 hours
Daemon has been running for 0.219823053082 hours
Daemon has been running for 0.222606202496 hours
Daemon has been running for 0.225389172501 hours
Daemon has been running for 0.228171646131 hours
Daemon has been running for 0.230953557756 hours
Daemon has been running for 0.233736780021 hours
Daemon has been running for 0.236520286401 hours
