Daemon started at 10:35:35 with pid 16516
To kill this process type "kill 16516" at the head node command line
Daemon has been running for 0.00571831332313 hours
Daemon has been running for 0.0113273902734 hours
Daemon has been running for 0.0169038650062 hours
Daemon has been running for 0.0224821483427 hours
Daemon has been running for 0.0280587924851 hours
Daemon has been running for 0.0336351146963 hours
Daemon has been running for 0.0392126655579 hours
Daemon has been running for 0.0447891730732 hours
Daemon has been running for 0.0503655316432 hours
Daemon has been running for 0.0559437183539 hours
Daemon has been running for 0.0615802527799 hours
Daemon has been running for 0.0671575316456 hours
Daemon has been running for 0.0727382375134 hours
Daemon has been running for 0.0783145674732 hours
Daemon has been running for 0.0838967205418 hours
Daemon has been running for 0.0894777077436 hours
Daemon has been running for 0.0950547875298 hours
Daemon has been running for 0.100692149997 hours
Daemon has been running for 0.106272106634 hours
Daemon has been running for 0.111851296094 hours
Daemon has been running for 0.117428171966 hours
Daemon has been running for 0.123008865847 hours
Daemon has been running for 0.128585638338 hours
Daemon has been running for 0.134164062209 hours
Daemon has been running for 0.139743248622 hours
Daemon has been running for 0.145319796403 hours
Daemon has been running for 0.150897193352 hours
Daemon has been running for 0.156496879723 hours
Daemon has been running for 0.162075415254 hours
Daemon has been running for 0.16765406443 hours
Daemon has been running for 0.173233093354 hours
Daemon has been running for 0.178813077807 hours
Daemon has been running for 0.184389095836 hours
Daemon has been running for 0.18997103552 hours
Daemon has been running for 0.195549475551 hours
Daemon has been running for 0.201128174994 hours
Daemon has been running for 0.206707272795 hours
Daemon has been running for 0.212284714712 hours
Daemon has been running for 0.217865851919 hours
Daemon has been running for 0.223443819748 hours
Daemon has been running for 0.229020713899 hours
Daemon has been running for 0.234668947789 hours
Daemon has been running for 0.240249084433 hours
Daemon has been running for 0.245889885028 hours
Daemon has been running for 0.251523814996 hours
Daemon has been running for 0.257108701931 hours
Daemon has been running for 0.262687904437 hours
Daemon has been running for 0.268267725574 hours
Daemon has been running for 0.273849877252 hours
Daemon has been running for 0.279432006412 hours
Daemon has been running for 0.285011945566 hours
Daemon has been running for 0.290706948903 hours
Daemon has been running for 0.296343042188 hours
Daemon has been running for 0.301985437804 hours
Daemon has been running for 0.307569341395 hours
Daemon has been running for 0.313148398068 hours
Daemon has been running for 0.318736455573 hours
Daemon has been running for 0.32438017918 hours
Daemon has been running for 0.329960453312 hours
Daemon has been running for 0.335546204713 hours
Daemon has been running for 0.341188687219 hours
Daemon has been running for 0.346771474149 hours
Daemon has been running for 0.352359378073 hours
Daemon has been running for 0.358061995573 hours
Daemon has been running for 0.363642802768 hours
Daemon has been running for 0.369221366975 hours
Daemon has been running for 0.374863518609 hours
Daemon has been running for 0.380444579985 hours
Daemon has been running for 0.386024329993 hours
Daemon has been running for 0.391662350562 hours
Daemon has been running for 0.397298098339 hours
Daemon has been running for 0.402933498025 hours
Daemon has been running for 0.408544039991 hours
Daemon has been running for 0.414123763906 hours
Daemon has been running for 0.419700236917 hours
Daemon has been running for 0.425280259185 hours
Daemon has been running for 0.430856691665 hours
Daemon has been running for 0.436439656085 hours
Daemon has been running for 0.442025094165 hours
Daemon has been running for 0.447603114181 hours
Daemon has been running for 0.453181452486 hours
Daemon has been running for 0.458762981362 hours
Daemon has been running for 0.464343586961 hours
Daemon has been running for 0.469982428352 hours
Daemon has been running for 0.475560958915 hours
Daemon has been running for 0.481141650544 hours
Daemon has been running for 0.486719351941 hours
Daemon has been running for 0.492356001669 hours
Daemon has been running for 0.497935430275 hours
Daemon has been running for 0.503571410245 hours
Daemon has been running for 0.509212079975 hours
Daemon has been running for 0.514789215525 hours
Daemon has been running for 0.520372503069 hours
Daemon has been running for 0.525954626136 hours
Daemon has been running for 0.531596809427 hours
Daemon has been running for 0.537182973623 hours
Daemon has been running for 0.542769406372 hours
Daemon has been running for 0.548349588911 hours
Daemon has been running for 0.553929818074 hours
Daemon has been running for 0.559516504473 hours
Daemon has been running for 0.5650954275 hours
Daemon has been running for 0.570674862199 hours
Daemon has been running for 0.576255667475 hours
Daemon has been running for 0.581899772485 hours
Daemon has been running for 0.587491228912 hours
Daemon has been running for 0.593076006373 hours
Daemon has been running for 0.598657371402 hours
Daemon has been running for 0.604295755029 hours
Daemon has been running for 0.609876792232 hours
Daemon has been running for 0.615454220308 hours
Daemon has been running for 0.621032482187 hours
Daemon has been running for 0.626612833871 hours
Daemon has been running for 0.632192380296 hours
Daemon has been running for 0.637830265297 hours
Daemon has been running for 0.64340930442 hours
Daemon has been running for 0.648986955285 hours
Daemon has been running for 0.654564317465 hours
Daemon has been running for 0.66015003807 hours
Daemon has been running for 0.665731420583 hours
Daemon has been running for 0.671368509995 hours
Daemon has been running for 0.676951465276 hours
Daemon has been running for 0.682529645562 hours
Daemon has been running for 0.688167466919 hours
Daemon has been running for 0.693750491407 hours
Daemon has been running for 0.699388682776 hours
Daemon has been running for 0.705027536088 hours
Daemon has been running for 0.710608150827 hours
Daemon has been running for 0.716187395255 hours
Daemon has been running for 0.721881588631 hours
Daemon has been running for 0.727463785277 hours
Daemon has been running for 0.733045550254 hours
Daemon has been running for 0.738624436922 hours
Daemon has been running for 0.744203997519 hours
Daemon has been running for 0.749782660802 hours
Daemon has been running for 0.755362116959 hours
Daemon has been running for 0.760945585304 hours
Daemon has been running for 0.766522189445 hours
Daemon has been running for 0.772104157474 hours
Daemon has been running for 0.777683835824 hours
Daemon has been running for 0.78326268971 hours
Daemon has been running for 0.788841663334 hours
Daemon has been running for 0.794420302245 hours
Daemon has been running for 0.800005732245 hours
Daemon has been running for 0.805591261387 hours
Daemon has been running for 0.811176151103 hours
Daemon has been running for 0.816762774719 hours
Daemon has been running for 0.822339318328 hours
Daemon has been running for 0.827984988027 hours
Daemon has been running for 0.833564339148 hours
