Daemon started at 0:41:32 with pid 31270
To kill this process type "kill 31270" at the head node command line
Daemon has been running for 0.000118004745907 hours
Daemon has been running for 0.000237514177958 hours
Daemon has been running for 0.0115391291512 hours
Daemon has been running for 0.0228422372209 hours
Daemon has been running for 0.0369393855333 hours
Daemon has been running for 0.0482521708144 hours
Daemon has been running for 0.0623500461049 hours
Daemon has been running for 0.0736486150159 hours
Daemon has been running for 0.082158746918 hours
Daemon has been running for 0.0878801694181 hours
Daemon has been running for 0.099185491138 hours
Daemon has been running for 0.113311130868 hours
Daemon has been running for 0.124614785314 hours
Daemon has been running for 0.135924546917 hours
Daemon has been running for 0.144435800314 hours
Daemon has been running for 0.150153623886 hours
Daemon has been running for 0.161461828616 hours
Daemon has been running for 0.169971085853 hours
Daemon has been running for 0.175686321656 hours
Daemon has been running for 0.181398781141 hours
Daemon has been running for 0.187109706667 hours
Daemon has been running for 0.195619305571 hours
Daemon has been running for 0.19853749805 hours
