Daemon started at 17:25:46 with pid 30459
To kill this process type "kill 30459" at the head node command line
Daemon has been running for 0.0892159683175 hours
Daemon has been running for 0.178475136095 hours
Daemon has been running for 0.267742808329 hours
Daemon has been running for 0.357016509175 hours
Daemon has been running for 0.44626063168 hours
Daemon has been running for 0.535521002809 hours
Daemon has been running for 0.624759557247 hours
Daemon has been running for 0.713972923623 hours
Daemon has been running for 0.803197445869 hours
Daemon has been running for 0.892417542802 hours
Daemon has been running for 0.981629882521 hours
Daemon has been running for 1.07084100558 hours
