ICNUM 	RSN01 	RSN02 	RSN03 	RSN04 	RSN05 	RSN06 	RSN07 	RSN08 	RSN09 	RSN10
01 	0.084 	0.661 	0.452 	-0.059 	-0.035 	0.098 	-0.094 	0.001 	0.007 	0.017
02 	-0.099 	0.020 	0.023 	0.124 	0.035 	-0.111 	-0.059 	0.296 	0.004 	-0.067
03 	-0.002 	-0.011 	-0.067 	0.085 	-0.102 	-0.033 	-0.112 	0.091 	0.641 	-0.000
04 	0.065 	0.046 	-0.197 	-0.088 	-0.025 	0.204 	0.170 	0.636 	0.129 	0.101
05 	-0.076 	0.102 	-0.117 	-0.014 	0.034 	-0.037 	-0.007 	-0.030 	-0.013 	-0.029
06 	0.025 	0.052 	-0.099 	0.776 	0.045 	0.120 	-0.035 	0.121 	-0.082 	-0.005
07 	0.039 	-0.009 	-0.105 	0.026 	-0.026 	-0.023 	-0.030 	-0.062 	-0.008 	0.771
08 	-0.019 	0.055 	-0.011 	0.027 	0.122 	0.496 	-0.000 	-0.090 	0.011 	0.149
09 	0.008 	-0.116 	0.320 	0.021 	-0.053 	-0.075 	-0.160 	-0.062 	-0.028 	0.064
10 	0.819 	-0.055 	0.115 	0.102 	0.015 	-0.013 	-0.022 	0.073 	-0.005 	-0.027
11 	-0.035 	-0.050 	-0.057 	0.004 	-0.119 	-0.151 	0.023 	-0.056 	-0.008 	-0.075
12 	-0.119 	-0.085 	-0.023 	-0.024 	-0.109 	0.088 	-0.141 	0.120 	-0.134 	-0.100
13 	0.030 	-0.067 	0.025 	-0.050 	-0.132 	0.587 	0.141 	-0.029 	-0.080 	-0.114
14 	0.081 	-0.013 	-0.027 	0.114 	-0.004 	-0.035 	0.663 	-0.023 	0.061 	-0.051
15 	-0.046 	-0.073 	-0.043 	-0.025 	-0.054 	-0.033 	-0.058 	-0.086 	-0.001 	-0.060
16 	-0.039 	-0.014 	-0.084 	-0.035 	-0.067 	-0.018 	-0.036 	-0.041 	-0.010 	-0.054
17 	0.001 	-0.019 	-0.118 	-0.033 	-0.060 	0.034 	-0.100 	-0.034 	0.012 	-0.005
18 	0.043 	0.070 	-0.074 	-0.123 	0.316 	-0.102 	0.110 	0.158 	-0.069 	0.031
19 	-0.042 	-0.043 	0.005 	-0.071 	-0.076 	-0.072 	-0.146 	0.119 	-0.061 	-0.064
20 	-0.063 	0.002 	0.032 	0.039 	0.024 	-0.007 	-0.007 	-0.017 	-0.033 	-0.055
21 	-0.043 	-0.049 	0.180 	-0.179 	0.067 	0.164 	0.226 	0.127 	0.185 	0.167
22 	-0.008 	-0.038 	0.088 	-0.025 	0.009 	-0.113 	0.071 	0.019 	-0.056 	-0.007
23 	0.022 	-0.047 	0.198 	0.042 	-0.005 	0.053 	0.203 	-0.092 	0.265 	-0.042
24 	-0.017 	0.002 	-0.137 	0.005 	0.156 	0.131 	-0.059 	-0.056 	0.052 	-0.028
25 	-0.023 	-0.013 	0.091 	-0.014 	-0.098 	0.039 	0.234 	0.027 	-0.204 	0.190
