Daemon started at 23:57:2 with pid 21225
To kill this process type "kill 21225" at the head node command line
submit_fslprestats2.py:177: DeprecationWarning: os.popen2 is deprecated.  Use the subprocess module.
  dummy, f = os.popen2(cmd)
Daemon has been running for 0.00145256638527 hours
Daemon has been running for 0.002859033876 hours
Daemon has been running for 0.00427324169212 hours
Daemon has been running for 0.00568902028932 hours
Daemon has been running for 0.00709510558181 hours
Daemon has been running for 0.00850207719538 hours
Daemon has been running for 0.00990971750683 hours
Daemon has been running for 0.0113166308403 hours
Daemon has been running for 0.0127227130863 hours
Daemon has been running for 0.0141294933028 hours
Daemon has been running for 0.0155353191826 hours
Daemon has been running for 0.0169415324926 hours
Daemon has been running for 0.0183493183057 hours
Daemon has been running for 0.0197552441888 hours
Daemon has been running for 0.0211620675193 hours
Daemon has been running for 0.0225730922487 hours
Daemon has been running for 0.0239795527856 hours
Daemon has been running for 0.025386693875 hours
Daemon has been running for 0.0267929672533 hours
Daemon has been running for 0.0281994527578 hours
Daemon has been running for 0.0296048635907 hours
Daemon has been running for 0.0310134422117 hours
Daemon has been running for 0.0324203658104 hours
Daemon has been running for 0.0338276627991 hours
Daemon has been running for 0.0352356702752 hours
Daemon has been running for 0.0366458800104 hours
Daemon has been running for 0.0380522047149 hours
Daemon has been running for 0.0394586255815 hours
Daemon has been running for 0.0659754358398 hours
Daemon has been running for 0.125856283307 hours
Daemon has been running for 0.12726433999 hours
Daemon has been running for 0.137025479476 hours
Daemon has been running for 0.16349422276 hours
Daemon has been running for 0.198334885306 hours
Daemon has been running for 0.208095408082 hours
Daemon has been running for 0.234562240309 hours
Daemon has been running for 0.244324331416 hours
Daemon has been running for 0.254086368084 hours
Daemon has been running for 0.255492991143 hours
Daemon has been running for 0.265255212784 hours
Daemon has been running for 0.283390743335 hours
Daemon has been running for 0.326625463035 hours
Daemon has been running for 0.353093034691 hours
Daemon has been running for 0.387911970284 hours
Daemon has been running for 0.389316747785 hours
Daemon has been running for 0.390723547803 hours
Daemon has been running for 0.400481414994 hours
Daemon has been running for 0.401885931955 hours
Daemon has been running for 0.419996495843 hours
Daemon has been running for 0.438108412491 hours
Daemon has been running for 0.439513209992 hours
Daemon has been running for 0.457787487772 hours
Daemon has been running for 0.559437303079 hours
Daemon has been running for 0.560848141975 hours
Daemon has been running for 0.562254541649 hours
Daemon has been running for 0.563659609755 hours
Daemon has been running for 0.631896211372 hours
Daemon has been running for 0.650015439987 hours
Daemon has been running for 0.651420542532 hours
Daemon has been running for 0.66128220333 hours
Daemon has been running for 0.679406848616 hours
Daemon has been running for 0.689164601697 hours
Daemon has been running for 0.86971200943 hours
Daemon has been running for 0.887824249731 hours
Daemon has been running for 0.930995949176 hours
Daemon has been running for 0.957458695571 hours
Daemon has been running for 1.05074881448 hours
Daemon has been running for 1.06050811999 hours
Daemon has been running for 1.1203846403 hours
Daemon has been running for 1.15521554278 hours
Daemon has been running for 1.20673788667 hours
Daemon has been running for 1.21649507999 hours
Daemon has been running for 1.36830625971 hours
Daemon has been running for 1.37806307945 hours
Daemon has been running for 1.37946689308 hours
Daemon has been running for 1.39763295472 hours
Daemon has been running for 1.47422846946 hours
Daemon has been running for 1.4756323164 hours
Daemon has been running for 1.52715880692 hours
Daemon has been running for 1.52856497639 hours
Daemon has been running for 1.5633981667 hours
Daemon has been running for 1.57315462165 hours
