Daemon started at 2:2:52 with pid 18167
To kill this process type "kill 18167" at the head node command line
Daemon has been running for 0.300656353566 hours
Daemon has been running for 0.298633339471 hours
Daemon has been running for 0.401840174463 hours
Daemon has been running for 0.527271347509 hours
Daemon has been running for 0.668946444988 hours
Daemon has been running for 0.778646270567 hours
Daemon has been running for 0.901424655848 hours
Daemon has been running for 1.04878814585 hours
Daemon has been running for 1.19041415526 hours
Daemon has been running for 1.39136577725 hours
Daemon has been running for 1.52964814027 hours
Daemon has been running for 1.65756537166 hours
Daemon has been running for 1.76332119637 hours
Daemon has been running for 1.93713189503 hours
Daemon has been running for 2.05312687722 hours
Daemon has been running for 2.23322857307 hours
Daemon has been running for 2.32330307669 hours
Daemon has been running for 2.4201841361 hours
Daemon has been running for 2.54387584335 hours
Daemon has been running for 2.72659398139 hours
Daemon has been running for 2.87597819282 hours
Daemon has been running for 2.99145933085 hours
Daemon has been running for 3.11629005697 hours
Daemon has been running for 3.24006822891 hours
Daemon has been running for 3.3905226881 hours
Daemon has been running for 3.52645016359 hours
Daemon has been running for 3.66459454026 hours
Daemon has been running for 3.79056885335 hours
Daemon has been running for 3.90262886809 hours
Daemon has been running for 4.06599060277 hours
Daemon has been running for 4.20023349749 hours
Daemon has been running for 4.33852020416 hours
Daemon has been running for 4.47765197919 hours
Daemon has been running for 4.6315794964 hours
Daemon has been running for 4.77755272415 hours
Daemon has been running for 4.96903953559 hours
Daemon has been running for 5.13539736138 hours
Daemon has been running for 5.24613385975 hours
Daemon has been running for 5.35696914282 hours
Daemon has been running for 5.48686945836 hours
Daemon has been running for 5.68877505336 hours
Daemon has been running for 5.8887180792 hours
Daemon has been running for 6.03420971281 hours
Daemon has been running for 6.12074122998 hours
Daemon has been running for 6.24835369143 hours
Daemon has been running for 6.40018710501 hours
Daemon has been running for 6.53309707642 hours
Daemon has been running for 6.69129580471 hours
Daemon has been running for 6.80293745557 hours
Daemon has been running for 6.93856692639 hours
Daemon has been running for 7.11407299141 hours
Daemon has been running for 7.26515480949 hours
Daemon has been running for 7.38197131554 hours
Daemon has been running for 7.53143728448 hours
Daemon has been running for 7.67451065474 hours
Daemon has been running for 7.84506440752 hours
Daemon has been running for 8.00512246834 hours
Daemon has been running for 8.11824215949 hours
Daemon has been running for 8.23908480975 hours
Daemon has been running for 8.35538580557 hours
Daemon has been running for 8.51300864418 hours
Daemon has been running for 8.65922617137 hours
Daemon has been running for 8.79147391584 hours
Daemon has been running for 8.93943247192 hours
Daemon has been running for 9.04664514614 hours
Daemon has been running for 9.19397714694 hours
Daemon has been running for 9.36851241946 hours
Daemon has been running for 9.49704676251 hours
